epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1226,3.33086,19.4916,0.9165,0.00026,0.07692,4e-05,0,4.04864,27.36,0.6548,0.0004,0.0004,0.0004
2,137.477,3.08034,13.0644,0.91735,0,0,0,0,4.18654,28.7733,0.67868,0.000803764,0.000803764,0.000803764
3,204.997,3.45476,12.5166,0.79068,0,0,0,0,3.99326,25.0373,0.66048,0.0011909,0.0011909,0.0011909
4,273.838,3.01851,10.52,0.90473,0.00051,0.15385,0.00014,0.0001,3.71056,17.8078,0.61813,0.0015614,0.0015614,0.0015614
5,356.138,2.92185,9.71952,0.93285,0.00077,0.23077,0.01062,0.00585,3.94884,16.513,0.62686,0.0018416,0.0018416,0.0018416
6,419.386,2.8554,8.32327,0.80687,0.50447,0.07692,0.26833,0.07955,3.62719,14.9152,0.61675,0.001802,0.001802,0.001802
7,481.035,3.02296,8.01076,0.83343,0.85112,0.30769,0.305,0.0615,4.06175,11.9783,0.60988,0.0017624,0.0017624,0.0017624
8,541.253,2.72073,8.36793,0.90231,0.86861,0.15385,0.155,0.0615,4.21038,12.766,0.62652,0.0017228,0.0017228,0.0017228
9,596.23,2.54641,6.14409,0.93769,0.56609,0.23077,0.215,0.05625,4.20194,14.3511,0.66993,0.0016832,0.0016832,0.0016832
10,655.589,2.85876,6.10162,0.85152,0.72428,0.15385,0.215,0.109,3.76101,12.2861,0.62955,0.0016436,0.0016436,0.0016436
11,719.462,2.76886,5.65175,0.91337,0.12613,0.15385,0.04981,0.03615,3.19184,19.274,0.64518,0.001604,0.001604,0.001604
12,784.311,2.66152,5.92374,0.91639,0.5968,0.15385,0.12833,0.07383,3.59461,12.111,0.63023,0.0015644,0.0015644,0.0015644
13,850.119,2.51233,4.82874,0.80737,0.49874,0.23077,0.203,0.0984,3.60539,9.44977,0.62194,0.0015248,0.0015248,0.0015248
14,918.399,2.60848,4.39085,0.88857,0.68693,0.30769,0.291,0.07887,3.76826,10.109,0.63327,0.0014852,0.0014852,0.0014852
15,980.483,2.74531,5.23383,0.788,0.85404,0.15385,0.155,0.1,3.72525,7.72819,0.63518,0.0014456,0.0014456,0.0014456
16,1029.71,2.53455,3.8241,0.79675,0.5594,0.30769,0.22292,0.08054,3.40992,6.87401,0.62435,0.001406,0.001406,0.001406
17,1078.03,2.55586,4.54875,0.87801,0.57009,0.23077,0.17625,0.04675,4.14752,7.76337,0.6177,0.0013664,0.0013664,0.0013664
18,1124.35,2.57669,3.59598,0.82255,0.74927,0.23077,0.235,0.09083,3.88795,7.91329,0.61308,0.0013268,0.0013268,0.0013268
19,1171.28,2.13484,3.26444,0.88685,0.49687,0.30769,0.243,0.0724,3.98332,6.30406,0.61901,0.0012872,0.0012872,0.0012872
20,1217.49,2.45535,3.34606,0.79484,0.36227,0.30769,0.20333,0.07295,3.89558,6.10829,0.60665,0.0012476,0.0012476,0.0012476
21,1282.7,2.7316,3.57161,0.74068,0.4809,0.15385,0.15015,0.07437,3.80828,5.72929,0.5977,0.001208,0.001208,0.001208
22,1326.9,2.59043,2.92673,0.84487,0.42599,0.38462,0.30167,0.07417,3.93351,4.55879,0.57477,0.0011684,0.0011684,0.0011684
23,1367.51,2.39886,2.5298,0.9393,0.45572,0.23077,0.203,0.0761,3.91433,5.47463,0.58885,0.0011288,0.0011288,0.0011288
24,1410.28,2.30531,2.875,0.91514,0.49052,0.23077,0.203,0.0528,4.17548,5.76093,0.59553,0.0010892,0.0010892,0.0010892
25,1454.66,2.33767,2.8557,0.85465,0.48026,0.28644,0.25,0.08,3.90676,5.00074,0.59908,0.0010496,0.0010496,0.0010496
26,1497.97,2.42745,2.59158,0.80573,0.67146,0.23077,0.24045,0.09959,3.6683,4.83787,0.60637,0.00101,0.00101,0.00101
27,1545,2.40401,2.54026,0.81002,0.77826,0.23077,0.26045,0.11155,3.5413,4.63929,0.60616,0.0009704,0.0009704,0.0009704
28,1599.8,2.06317,2.35789,0.86626,0.63263,0.23077,0.22045,0.09055,3.67297,4.27963,0.61162,0.0009308,0.0009308,0.0009308
29,1649.62,2.01534,2.00778,0.78839,0.47317,0.23077,0.19167,0.096,3.5725,4.0719,0.61081,0.0008912,0.0008912,0.0008912
30,1698.85,2.24613,2.41905,0.90939,0.44588,0.23077,0.171,0.0813,3.71848,4.07124,0.59958,0.0008516,0.0008516,0.0008516
31,1747.3,2.50748,2.36837,0.78974,0.50229,0.30769,0.24167,0.082,3.6714,4.186,0.60383,0.000812,0.000812,0.000812
32,1795.34,2.1055,2.37938,0.82109,0.61659,0.30769,0.255,0.1155,3.54143,3.77085,0.59872,0.0007724,0.0007724,0.0007724
33,1842.4,2.09795,2.56297,0.79622,0.85612,0.23077,0.235,0.1085,3.66963,3.90304,0.60096,0.0007328,0.0007328,0.0007328
34,1890.26,2.10025,2.06325,0.78231,0.88343,0.23077,0.235,0.1085,3.71582,3.83831,0.59691,0.0006932,0.0006932,0.0006932
35,1942.95,2.36477,2.18347,0.83585,0.55157,0.30769,0.28167,0.10983,3.62214,3.5973,0.60534,0.0006536,0.0006536,0.0006536
36,1999.87,1.94165,2.03814,0.76974,0.54769,0.30769,0.275,0.10533,3.70831,3.48784,0.60365,0.000614,0.000614,0.000614
37,2048.68,1.97074,1.78377,0.83086,0.9114,0.23077,0.235,0.124,3.63318,3.58894,0.60442,0.0005744,0.0005744,0.0005744
38,2095.19,2.31404,1.96783,0.76011,0.9134,0.23077,0.235,0.1245,3.5684,3.45592,0.60295,0.0005348,0.0005348,0.0005348
39,2143.38,2.23158,1.86604,0.75489,1,0.29654,0.305,0.1075,3.69679,3.35783,0.60216,0.0004952,0.0004952,0.0004952
40,2191.44,2.16442,2.01459,0.71833,0.94609,0.30769,0.305,0.108,3.79963,3.33878,0.59643,0.0004556,0.0004556,0.0004556
